"Name","CurrentPrice","CurrentPrice2","URL","Score","ReleaseQuarters","ReleaseYear"
"BC711 NVMe SK hynix 128GB","15.99","$15.99 USD (2024-03-01)","https://www.harddrivebenchmark.net/hdd.php?hdd=BC711+NVMe+SK+hynix+128GB","9756","Q2","2021"
"KBG40ZNS128G NVMe KIOXIA 128GB","15.99","$15.99 USD (2024-03-06)","https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNS128G+NVMe+KIOXIA+128GB","9062","Q2","2020"
"Intel Optane P1600X 58GB","32.84","$32.84 USD (2024-04-26)","https://www.harddrivebenchmark.net/hdd.php?hdd=Intel+Optane+P1600X+58GB","13064","Q2","2023"
"Patriot P300 128GB","30.95","$30.95 USD (2022-02-18)","https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+P300+128GB","9183","Q3","2020"
"Patriot M.2 P300 128GB","42.60","$42.6 USD (2023-11-26)","https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+M.2+P300+128GB","10890","Q2","2022"
"NVMe PC SN520 NVMe WD","32.60","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN520+NVMe+WD","13734","Q3","2019"
"NVME SSD 128GB","34.99","$34.99 USD (2024-05-08)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVME+SSD+128GB","7877","Q2","2020"
"SanDisk X400 M.2 2280 128GB","17.94","$17.94 USD (2023-07-17)","https://www.harddrivebenchmark.net/hdd.php?hdd=SanDisk+X400+M.2+2280+128GB","3871","Q2","2016"
"Patriot Burst Elite 120GB","13.49","$13.49 USD (2022-10-22)","https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+Burst+Elite+120GB","2823","Q2","2021"
"HP SSD EX900 120GB","43.99","$43.99 USD (2021-05-13)","https://www.harddrivebenchmark.net/hdd.php?hdd=HP+SSD+EX900+120GB","8851","Q4","2018"
"SK hynix SC311 128GB","14.16","$14.16 USD (2023-11-02)","https://www.harddrivebenchmark.net/hdd.php?hdd=SK+hynix+SC311+128GB","2778","Q1","2017"
"ADATA SU655","15.49","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU655","3533","Q3","2018"
"Patriot P210 128GB","13.99","$13.99 USD (2024-05-11)","https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+P210+128GB","2569","Q3","2020"
"SAMSUNG SSD PM871 M.2 2280 128GB","17.39","$17.39 USD (2024-04-11)","https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG+SSD+PM871+M.2+2280+128GB","3022","Q4","2015"
"ADATA SU650","17.96","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU650","4196","Q4","2019"
"Netac NVMe SSD 128GB","48.31","$48.31 USD (2021-08-21)","https://www.harddrivebenchmark.net/hdd.php?hdd=Netac+NVMe+SSD+128GB","7527","Q2","2020"
"BC501 NVMe SK hynix 128GB","31.99","$31.99 USD (2023-06-07)","https://www.harddrivebenchmark.net/hdd.php?hdd=BC501+NVMe+SK+hynix+128GB","4907","Q1","2019"
"SAMSUNG MZ7TE128HMGR-000L1","15.99","$15.99 USD (2020-02-01)","https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG+MZ7TE128HMGR-000L1","2415","Q2","2014"
"DOGFISH SSD 128GB","22.00","$22 USD (2024-05-09)","https://www.harddrivebenchmark.net/hdd.php?hdd=DOGFISH+SSD+128GB","3315","Q1","2019"
"CT120BX100SSD1","21.24","$21.24 USD (2024-02-04)","https://www.harddrivebenchmark.net/hdd.php?hdd=CT120BX100SSD1","3137","Q1","2015"
"Colorful CN600 128GB","59.69","$59.69 USD (2023-09-25)","https://www.harddrivebenchmark.net/hdd.php?hdd=Colorful+CN600+128GB","8732","Q4","2021"
"KBG30ZMT128G TOSHIBA","38.68","$38.68 USD (2023-05-17)","https://www.harddrivebenchmark.net/hdd.php?hdd=KBG30ZMT128G+TOSHIBA","5389","Q1","2018"
"DOGFISH SSD 120GB","16.00","$16 USD (2024-05-08)","https://www.harddrivebenchmark.net/hdd.php?hdd=DOGFISH+SSD+120GB","2222","Q2","2018"
"HP SSD M700 120GB","22.99","$22.99 USD (2019-11-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=HP+SSD+M700+120GB","3183","Q4","2017"
"SAMSUNG MZFLV128HCGR-000MV","26.95","$26.95 USD (2019-05-18)","https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG+MZFLV128HCGR-000MV","3729","Q3","2016"
"DOGFISH SSD 64GB","14.00","$14 USD (2024-05-09)","https://www.harddrivebenchmark.net/hdd.php?hdd=DOGFISH+SSD+64GB","1892","Q3","2019"
"BR 128GB","33.22","$33.22 USD (2024-03-20)","https://www.harddrivebenchmark.net/hdd.php?hdd=BR+128GB","4204","Q1","2020"
"SanDisk X300 2.5 7MM 128GB","26.19","$26.19 USD (2019-05-19)","https://www.harddrivebenchmark.net/hdd.php?hdd=SanDisk+X300+2.5+7MM+128GB","3130","Q4","2016"
"SAMSUNG MZ7LN128HCHP-000H1","24.99","$24.99 USD (2021-09-28)","https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG+MZ7LN128HCHP-000H1","2947","Q1","2016"
"KINGSTON SH103S3","29.99","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON+SH103S3","3587","Q1","2014"
"GIGABYTE GP-GSTFS31120GNTD","26.49","$26.49 USD (2022-05-16)","https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE+GP-GSTFS31120GNTD","3102","Q3","2018"
"Netac SSD 120GB","22.99","$22.99 USD (2022-08-04)","https://www.harddrivebenchmark.net/hdd.php?hdd=Netac+SSD+120GB","2651","Q3","2016"
"KIOXIA (Toshiba) 128GB","48.00","$48 USD (2023-08-06)","https://www.harddrivebenchmark.net/hdd.php?hdd=KIOXIA+(Toshiba)+128GB","5466","Q3","2018"
"ADATA SU800 SSD 128GB","29.99","$29.99 USD (2019-04-19)","https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU800+SSD+128GB","3221","Q2","2017"
"THNSN5128GPUK TOSHIBA","59.99","$59.99 USD (2019-01-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=THNSN5128GPUK+TOSHIBA","6355","Q3","2017"
"ADATA SU700","22.00","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SU700","2919","Q4","2017"
"OCZ-SOLID3","24.30","$24.3 USD (2022-03-17)","https://www.harddrivebenchmark.net/hdd.php?hdd=OCZ-SOLID3","2542","Q2","2011"
"SanDisk SD9SN8W-128G-1006","34.99","$34.99 USD (2022-04-01)","https://www.harddrivebenchmark.net/hdd.php?hdd=SanDisk+SD9SN8W-128G-1006","3592","Q1","2018"
"PNY CS900 120GB SSD","29.25","$29.25 USD (2022-05-25)","https://www.harddrivebenchmark.net/hdd.php?hdd=PNY+CS900+120GB+SSD","2911","Q4","2016"
"TEAM L5 LITE SSD 120GB","24.99","$24.99 USD (2019-09-15)","https://www.harddrivebenchmark.net/hdd.php?hdd=TEAM+L5+LITE+SSD+120GB","2454","Q1","2017"
"SanDisk X600 M.2 2280 128GB","38.50","$38.5 USD (2019-06-07)","https://www.harddrivebenchmark.net/hdd.php?hdd=SanDisk+X600+M.2+2280+128GB","3631","Q2","2018"
"Samsung SSD 750 EVO 120GB","34.99","$34.99 USD (2023-04-29)","https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung+SSD+750+EVO+120GB","3284","Q4","2015"
"Radeon R3 SSD R3SL120G","39.99","$39.99 USD (2016-10-16)","https://www.harddrivebenchmark.net/hdd.php?hdd=Radeon+R3+SSD+R3SL120G","3719","Q2","2016"
"SATA3 64GB SSD","18.90","$18.9 USD (2023-05-17)","https://www.harddrivebenchmark.net/hdd.php?hdd=SATA3+64GB+SSD","1756","Q4","2020"
"BC711 NVMe SK hynix 256GB","18.69","$18.69 USD (2024-02-23)","https://www.harddrivebenchmark.net/hdd.php?hdd=BC711+NVMe+SK+hynix+256GB","16131","Q2","2021"
"SK Hynix 256GB BC711 M.2 SSD 2280 3500MBs","18.89","$18.89 USD (2023-10-19)","https://www.harddrivebenchmark.net/hdd.php?hdd=SK+Hynix+256GB+BC711+M.2+SSD+2280+3500MBs","14624","Q1","2022"
"Micron 2200S 256GB","17.94","$17.94 USD (2024-01-02)","https://www.harddrivebenchmark.net/hdd.php?hdd=Micron+2200S+256GB","13653","Q4","2019"
"IM2P33F3A ADATA 256GB","17.00","$17 USD (2023-07-25)","https://www.harddrivebenchmark.net/hdd.php?hdd=IM2P33F3A+ADATA+256GB","11782","Q4","2020"
"KXG60ZNV256G KIOXIA","24.14","$24.14 USD (2024-02-21)","https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV256G+KIOXIA","16362","Q1","2020"
"NVMe 256GB","19.00","$19 USD (2024-04-28)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+256GB","12486","Q1","2021"
"NVMe PC SN730 NVMe WDC 256GB","21.72","$21.72 USD (2023-07-22)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN730+NVMe+WDC+256GB","14137","Q1","2021"
"KBG50ZNS256G KIOXIA 256GB","29.99","$29.99 USD (2024-02-29)","https://www.harddrivebenchmark.net/hdd.php?hdd=KBG50ZNS256G+KIOXIA+256GB","18691","Q2","2022"
"Patriot M.2 P310 240GB","22.99","$22.99 USD (2024-04-12)","https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+M.2+P310+240GB","14319","Q1","2022"
"NVMe NVME SSD 256GB","16.99","$16.99 USD (2023-08-27)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+NVME+SSD+256GB","9797","Q4","2019"
"PM981a NVMe SED Samsung 256GB","37.99","$37.99 USD (2023-08-03)","https://www.harddrivebenchmark.net/hdd.php?hdd=PM981a+NVMe+SED+Samsung+256GB","21502","Q2","2022"
"NVMe SSD 256G","19.99","$19.99 USD (2023-08-02)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+SSD+256G","10993","Q4","2020"
"NVMe Patriot M.2 P300","26.60","$26.6 USD (2023-08-05)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+Patriot+M.2+P300","13609","Q3","2021"
"NVMe PC SN530 NVMe WDC 256GB","23.99","$23.99 USD (2023-08-01)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN530+NVMe+WDC+256GB","12270","Q1","2021"
"KBG40ZNS256G NVMe KIOXIA 256GB","25.00","$25 USD (2024-03-02)","https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNS256G+NVMe+KIOXIA+256GB","12661","Q4","2019"
"BC511 NVMe SK hynix 256GB","19.99","$19.99 USD (2024-03-01)","https://www.harddrivebenchmark.net/hdd.php?hdd=BC511+NVMe+SK+hynix+256GB","9376","Q4","2019"
"KBG40ZNV256G KIOXIA","32.00","$32 USD (2023-11-12)","https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNV256G+KIOXIA","14024","Q3","2020"
"Acer SSD FA100 256GB","31.99","$31.99 USD (2024-04-12)","https://www.harddrivebenchmark.net/hdd.php?hdd=Acer+SSD+FA100+256GB","13100","Q2","2022"
"Micron 2300 NVMe 256GB","44.99","$44.99 USD (2023-01-23)","https://www.harddrivebenchmark.net/hdd.php?hdd=Micron+2300+NVMe+256GB","18139","Q4","2020"
"HP SSD EX900 250GB","27.58","$27.58 USD (2024-05-09)","https://www.harddrivebenchmark.net/hdd.php?hdd=HP+SSD+EX900+250GB","11109","Q1","2018"
"EMTEC X300 256GB","34.99","$34.99 USD (2024-03-01)","https://www.harddrivebenchmark.net/hdd.php?hdd=EMTEC+X300+256GB","13842","Q3","2020"
"BC501 NVMe SK hynix 256GB","26.45","$26.45 USD (2023-10-18)","https://www.harddrivebenchmark.net/hdd.php?hdd=BC501+NVMe+SK+hynix+256GB","9198","Q4","2018"
"WD Blue SN570 250GB","49.99","$49.99 USD (2024-03-01)","https://www.harddrivebenchmark.net/hdd.php?hdd=WD+Blue+SN570+250GB","17182","Q1","2022"
"Patriot M.2 P300","36.78","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+M.2+P300","16652","Q2","2021"
"XPG GAMMIX S11 Pro","42.99","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=XPG+GAMMIX+S11+Pro","20663","Q4","2019"
"GIGABYTE GP-GSM2NE3256GNTD","40.36","$40.36 USD (2022-05-16)","https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE+GP-GSM2NE3256GNTD","12987","Q4","2019"
"KLEVV CRAS C710 M.2 NVMe SSD 256GB","37.90","$37.9 USD (2022-02-18)","https://www.harddrivebenchmark.net/hdd.php?hdd=KLEVV+CRAS+C710+M.2+NVMe+SSD+256GB","11980","Q2","2020"
"HP SSD EX920 256GB","39.90","$39.9 USD (2024-03-01)","https://www.harddrivebenchmark.net/hdd.php?hdd=HP+SSD+EX920+256GB","12518","Q3","2018"
"PLEXTOR PX-256M9PeGN","39.99","$39.99 USD (2019-10-31)","https://www.harddrivebenchmark.net/hdd.php?hdd=PLEXTOR+PX-256M9PeGN","12110","Q3","2018"
"MSI M390 250GB","59.90","$59.9 USD (2024-05-04)","https://www.harddrivebenchmark.net/hdd.php?hdd=MSI+M390+250GB","17596","Q3","2022"
"IM2P33F3 NVMe ADATA 256GB","34.99","$34.99 USD (2024-03-16)","https://www.harddrivebenchmark.net/hdd.php?hdd=IM2P33F3+NVMe+ADATA+256GB","9924","Q3","2020"
"XPG GAMMIX S5","45.99","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=XPG+GAMMIX+S5","15511","Q4","2020"
"PLEXTOR PX-256M9PeG","42.99","$42.99 USD (2019-09-17)","https://www.harddrivebenchmark.net/hdd.php?hdd=PLEXTOR+PX-256M9PeG","11713","Q3","2018"
"Inland NVMe SSD","47.24","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=Inland+NVMe+SSD","14438","Q1","2022"
"Samsung SSD 970 EVO Plus 250GB","69.99","$69.99 USD (2019-07-19)","https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung+SSD+970+EVO+Plus+250GB","18567","Q1","2019"
"Patriot P300 256GB","39.99","$39.99 USD (2021-03-02)","https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+P300+256GB","10488","Q1","2020"
"WDC WDS240G2G0C","48.87","$48.87 USD (2023-05-26)","https://www.harddrivebenchmark.net/hdd.php?hdd=WDC+WDS240G2G0C","12649","Q3","2021"
"KBG30ZMV256G TOSHIBA","28.74","$28.74 USD (2024-04-07)","https://www.harddrivebenchmark.net/hdd.php?hdd=KBG30ZMV256G+TOSHIBA","7175","Q2","2018"
"TOSHIBA THNSNH256GBST","17.94","$17.94 USD (2024-01-02)","https://www.harddrivebenchmark.net/hdd.php?hdd=TOSHIBA+THNSNH256GBST","4406","Q3","2013"
"KBG30ZMV256G KIOXIA","33.06","$33.06 USD (2023-06-19)","https://www.harddrivebenchmark.net/hdd.php?hdd=KBG30ZMV256G+KIOXIA","8108","Q4","2019"
"M Series NVMe SSD 256G","48.15","$48.15 USD (2021-11-24)","https://www.harddrivebenchmark.net/hdd.php?hdd=M+Series+NVMe+SSD+256G","10899","Q1","2020"
"CT250P5SSD8","82.99","$82.99 USD (2022-09-29)","https://www.harddrivebenchmark.net/hdd.php?hdd=CT250P5SSD8","18636","Q3","2020"
"Samsung SSD 970 EVO 250GB","69.90","$69.9 USD (2024-05-09)","https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung+SSD+970+EVO+250GB","15538","Q2","2018"
"NVMe TS256GMTE110S","39.99","$39.99 USD (2024-04-19)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+TS256GMTE110S","8888","Q1","2019"
"Micron 2300 MTFDHBA512TDV","26.45","$26.45 USD (2023-08-05)","https://www.harddrivebenchmark.net/hdd.php?hdd=Micron+2300+MTFDHBA512TDV","21346","Q1","2022"
"SK Hynix 512GB M.2 BC711 80mm SSD","28.34","$28.34 USD (2023-10-18)","https://www.harddrivebenchmark.net/hdd.php?hdd=SK+Hynix+512GB+M.2+BC711+80mm+SSD","21499","Q1","2021"
"SK hynix BC711 HFM512GD3JX013N","28.34","$28.34 USD (2023-10-18)","https://www.harddrivebenchmark.net/hdd.php?hdd=SK+hynix+BC711+HFM512GD3JX013N","20672","Q2","2021"
"WD Blue SN580 500GB","39.99","$39.99 USD (2023-12-16)","https://www.harddrivebenchmark.net/hdd.php?hdd=WD+Blue+SN580+500GB","28949","Q3","2023"
"SK hynix HFM512GD3JX013N","33.06","$33.06 USD (2023-07-22)","https://www.harddrivebenchmark.net/hdd.php?hdd=SK+hynix+HFM512GD3JX013N","22190","Q1","2021"
"NVMe PC SN810 NVMe WDC 512GB","55.99","$55.99 USD (2024-01-19)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN810+NVMe+WDC+512GB","35383","Q4","2021"
"Micron MTFDHBA512TCK","27.39","$27.39 USD (2023-10-18)","https://www.harddrivebenchmark.net/hdd.php?hdd=Micron+MTFDHBA512TCK","17194","Q3","2019"
"NVMe WD Blue SN570 500GB","39.19","$39.19 USD (2023-12-12)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+WD+Blue+SN570+500GB","24468","Q2","2022"
"Micron 2200S NVMe 512GB","27.39","$27.39 USD (2023-10-18)","https://www.harddrivebenchmark.net/hdd.php?hdd=Micron+2200S+NVMe+512GB","16815","Q3","2019"
"Predator GM7000 512GB","54.99","$54.99 USD (2024-05-02)","https://www.harddrivebenchmark.net/hdd.php?hdd=Predator+GM7000+512GB","32819","Q1","2022"
"HFM512GD3JX016N","35.90","$35.9 USD (2023-10-25)","https://www.harddrivebenchmark.net/hdd.php?hdd=HFM512GD3JX016N","21046","Q1","2021"
"Crucial P3 Plus 500GB","35.99","$35.99 USD (2023-07-20)","https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial+P3+Plus+500GB","20875","Q3","2022"
"M.2 PCIE 2280 SSD 512GB","36.99","$36.99 USD (2024-05-09)","https://www.harddrivebenchmark.net/hdd.php?hdd=M.2+PCIE+2280+SSD+512GB","19786","Q1","2024"
"WD Blue SN570 500GB","42.99","$42.99 USD (2022-10-01)","https://www.harddrivebenchmark.net/hdd.php?hdd=WD+Blue+SN570+500GB","22680","Q4","2021"
"Patriot M.2 P400 512GB","53.99","$53.99 USD (2023-10-27)","https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+M.2+P400+512GB","28050","Q3","2022"
"Corsair Force MP510 480GB","32.95","$32.95 USD (2024-05-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair+Force+MP510+480GB","16370","Q4","2018"
"KBG40ZNV512G KIOXIA","28.34","$28.34 USD (2023-10-27)","https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNV512G+KIOXIA","14023","Q3","2020"
"KXG60ZNV512G KIOXIA","37.79","$37.79 USD (2023-10-18)","https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV512G+KIOXIA","18687","Q4","2019"
"MSI M450 500GB","50.24","$50.24 USD (2024-04-17)","https://www.harddrivebenchmark.net/hdd.php?hdd=MSI+M450+500GB","24144","Q1","2022"
"NVMe PC SN740 NVMe WD 512GB","55.99","$55.99 USD (2024-04-24)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN740+NVMe+WD+512GB","26726","Q3","2022"
"WD Red SN700 500GB","51.47","$51.47 USD (2023-12-15)","https://www.harddrivebenchmark.net/hdd.php?hdd=WD+Red+SN700+500GB","23689","Q2","2022"
"KINGSTON KC3000 512GB","79.99","$79.99 USD (2024-03-07)","https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON+KC3000+512GB","36450","Q4","2021"
